report: reports/scan-hash-v71-post-dup-cleanup.json
duplicate_groups: 111
duplicate_files: 222
potential_reclaim_bytes: 35593770

Groups by potential reclaim:
- dup-0044: 2 files, size_each=[2027307], reclaim=2027307
- dup-0088: 2 files, size_each=[1527283], reclaim=1527283
- dup-0081: 2 files, size_each=[1504253], reclaim=1504253
- dup-0109: 2 files, size_each=[1497722], reclaim=1497722
- dup-0061: 2 files, size_each=[1420919], reclaim=1420919
- dup-0060: 2 files, size_each=[1379348], reclaim=1379348
- dup-0067: 2 files, size_each=[1372559], reclaim=1372559
- dup-0014: 2 files, size_each=[1361500], reclaim=1361500
- dup-0065: 2 files, size_each=[1359412], reclaim=1359412
- dup-0057: 2 files, size_each=[1350345], reclaim=1350345
- dup-0107: 2 files, size_each=[1334196], reclaim=1334196
- dup-0063: 2 files, size_each=[1331141], reclaim=1331141
- dup-0091: 2 files, size_each=[1305094], reclaim=1305094
- dup-0108: 2 files, size_each=[1066684], reclaim=1066684
- dup-0026: 2 files, size_each=[1006988], reclaim=1006988
- dup-0066: 2 files, size_each=[486218], reclaim=486218
- dup-0001: 2 files, size_each=[372983], reclaim=372983
- dup-0016: 2 files, size_each=[339144], reclaim=339144
- dup-0052: 2 files, size_each=[316376], reclaim=316376
- dup-0033: 2 files, size_each=[292899], reclaim=292899
- dup-0092: 2 files, size_each=[286808], reclaim=286808
- dup-0056: 2 files, size_each=[250658], reclaim=250658
- dup-0079: 2 files, size_each=[222965], reclaim=222965
- dup-0070: 2 files, size_each=[220431], reclaim=220431
- dup-0054: 2 files, size_each=[200147], reclaim=200147
- dup-0038: 2 files, size_each=[199557], reclaim=199557
- dup-0097: 2 files, size_each=[196903], reclaim=196903
- dup-0045: 2 files, size_each=[193317], reclaim=193317
- dup-0090: 2 files, size_each=[191439], reclaim=191439
- dup-0083: 2 files, size_each=[188110], reclaim=188110
- dup-0028: 2 files, size_each=[184762], reclaim=184762
- dup-0008: 2 files, size_each=[182963], reclaim=182963
- dup-0073: 2 files, size_each=[180501], reclaim=180501
- dup-0041: 2 files, size_each=[176870], reclaim=176870
- dup-0050: 2 files, size_each=[176800], reclaim=176800
- dup-0098: 2 files, size_each=[173689], reclaim=173689
- dup-0024: 2 files, size_each=[172950], reclaim=172950
- dup-0047: 2 files, size_each=[172704], reclaim=172704
- dup-0087: 2 files, size_each=[172002], reclaim=172002
- dup-0035: 2 files, size_each=[171299], reclaim=171299
- dup-0069: 2 files, size_each=[170619], reclaim=170619
- dup-0004: 2 files, size_each=[170081], reclaim=170081
- dup-0106: 2 files, size_each=[168472], reclaim=168472
- dup-0076: 2 files, size_each=[168341], reclaim=168341
- dup-0011: 2 files, size_each=[167621], reclaim=167621
- dup-0039: 2 files, size_each=[165877], reclaim=165877
- dup-0043: 2 files, size_each=[162462], reclaim=162462
- dup-0009: 2 files, size_each=[161413], reclaim=161413
- dup-0102: 2 files, size_each=[159158], reclaim=159158
- dup-0051: 2 files, size_each=[157302], reclaim=157302
