report: reports/scan-hash-v72-post-mirror-cleanup.json
count: 4398
total_bytes: 31133090273

- /home/gabriel/Pictures/20140723 and earlier/Thumbs.db | category=unknown | size=1624064 | proposed=None
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01283.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5302 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01283.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01283.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2426 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01283.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01284.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=6277 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01284.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01284.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2936 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01284.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01285.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=6143 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01285.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01285.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2928 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01285.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01286.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=4168 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01286.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01286.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=1973 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01286.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01287.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5158 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01287.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01287.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2793 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01287.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01288.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5821 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01288.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01288.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2954 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01288.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01289.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5408 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01289.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01289.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2642 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01289.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01290.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=3478 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01290.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01290.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=1815 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01290.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01291.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=3614 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01291.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01291.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=1861 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01291.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01292.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=3530 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01292.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01292.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=1809 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01292.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01293.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=4253 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01293.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01293.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2137 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01293.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01294.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5524 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01294.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01294.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2611 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01294.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01295.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=6247 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01295.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01295.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=3052 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01295.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01298.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5379 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01298.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01298.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2644 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01298.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01299.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5231 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01299.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01299.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2601 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01299.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01300.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5011 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01300.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01300.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2289 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01300.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01301.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5419 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01301.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01301.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2767 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01301.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01302.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=4434 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01302.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01302.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2310 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01302.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01303.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=4021 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01303.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01303.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=1880 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01303.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01304.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=3777 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01304.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01304.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=1802 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01304.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01305.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5760 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01305.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01305.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2878 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01305.cb62bbdd389b48898f2e5244977cb2c5.jpg
