report: reports/scan-hash-v72-post-mirror-cleanup.json
count: 1375
total_bytes: 2544872626

By extension:
- .db: 672
- .au: 565
- .pdf: 30
- <none>: 25
- .mp3: 23
- .xml: 20
- .kdenlive: 12
- .mka: 5
- .wmv: 4
- .lvix: 4
- .wav: 3
- .phd: 2
- .xcf: 2
- .aup: 2
- .log: 2
- .flv: 1
- .ogg: 1
- .osp: 1
- .svg: 1

Files:
- /home/gabriel/Pictures/2000/09/20/Thumbs.db | ext=.db | size=49664 | date_source=path | proposed=None
- /home/gabriel/Pictures/2001/10/26/Thumbs.db | ext=.db | size=22528 | date_source=path | proposed=None
- /home/gabriel/Pictures/2001/10/27/Thumbs.db | ext=.db | size=34816 | date_source=path | proposed=None
- /home/gabriel/Pictures/2001/11/24/Thumbs.db | ext=.db | size=23552 | date_source=path | proposed=None
- /home/gabriel/Pictures/2001/11/30/Thumbs.db | ext=.db | size=16896 | date_source=path | proposed=None
- /home/gabriel/Pictures/2001/12/06/Thumbs.db | ext=.db | size=22016 | date_source=path | proposed=None
- /home/gabriel/Pictures/2001/12/21/Thumbs.db | ext=.db | size=24064 | date_source=path | proposed=None
- /home/gabriel/Pictures/2002/03/26/Thumbs.db | ext=.db | size=9728 | date_source=path | proposed=None
- /home/gabriel/Pictures/2002/04/04/Thumbs.db | ext=.db | size=39936 | date_source=path | proposed=None
- /home/gabriel/Pictures/2002/09/30/Thumbs.db | ext=.db | size=16384 | date_source=path | proposed=None
- /home/gabriel/Pictures/2003/02/26/Thumbs.db | ext=.db | size=12800 | date_source=path | proposed=None
- /home/gabriel/Pictures/2003/03/16/Thumbs.db | ext=.db | size=20992 | date_source=path | proposed=None
- /home/gabriel/Pictures/2003/04/21/Thumbs.db | ext=.db | size=13824 | date_source=path | proposed=None
- /home/gabriel/Pictures/2003/05/13/Thumbs.db | ext=.db | size=42496 | date_source=path | proposed=None
- /home/gabriel/Pictures/2003/05/14/Thumbs.db | ext=.db | size=16384 | date_source=path | proposed=None
- /home/gabriel/Pictures/2003/05/17/Thumbs.db | ext=.db | size=33280 | date_source=path | proposed=None
- /home/gabriel/Pictures/2003/06/28/Thumbs.db | ext=.db | size=31232 | date_source=path | proposed=None
- /home/gabriel/Pictures/2003/10/11/Thumbs.db | ext=.db | size=30208 | date_source=path | proposed=None
- /home/gabriel/Pictures/2004/01/17/Thumbs.db | ext=.db | size=15872 | date_source=path | proposed=None
- /home/gabriel/Pictures/2004/03/03/Thumbs.db | ext=.db | size=26112 | date_source=path | proposed=None
